#{"t_start": 1784182486.7544653, "env_id": "CartPole-v1"}
r,l,t
18.0,18,13.560646
15.0,15,13.560646
17.0,17,13.924106
14.0,14,13.924106
34.0,34,13.924106
16.0,16,13.939727
22.0,22,13.939727
13.0,13,13.939727
28.0,28,13.939727
24.0,24,13.939727
17.0,17,13.939727
38.0,38,13.939727
22.0,22,13.95535
15.0,15,14.379466
18.0,18,14.379466
37.0,37,14.379466
19.0,19,14.379466
13.0,13,14.379466
12.0,12,14.379466
14.0,14,14.379466
29.0,29,14.395089
23.0,23,14.395089
12.0,12,14.395089
23.0,23,14.395089
29.0,29,14.395089
16.0,16,14.395089
23.0,23,14.852109
12.0,12,14.852109
12.0,12,14.867733
20.0,20,14.867733
21.0,21,14.867733
24.0,24,14.867733
11.0,11,14.867733
37.0,37,14.867733
11.0,11,14.867733
52.0,52,14.883354
15.0,15,14.883354
23.0,23,14.883354
49.0,49,15.196883
9.0,9,15.196883
74.0,74,15.196883
66.0,66,15.212726
9.0,9,15.212726
17.0,17,15.212726
17.0,17,15.212726
18.0,18,15.212726
16.0,16,15.558589
29.0,29,15.558589
11.0,11,15.558589
15.0,15,15.574213
11.0,11,15.574213
28.0,28,15.574213
17.0,17,15.590092
15.0,15,15.590092
27.0,27,15.590092
10.0,10,15.605941
13.0,13,15.605941
25.0,25,15.605941
29.0,29,15.605941
25.0,25,15.936758
14.0,14,15.952639
23.0,23,15.952639
12.0,12,15.952639
11.0,11,15.952639
56.0,56,15.952639
14.0,14,15.952639
9.0,9,15.952639
19.0,19,15.968554
17.0,17,15.968554
20.0,20,15.968554
17.0,17,15.968554
20.0,20,15.968554
17.0,17,16.378743
11.0,11,16.378743
25.0,25,16.378743
23.0,23,16.378743
35.0,35,16.394365
36.0,36,16.394365
10.0,10,16.394365
11.0,11,16.394365
69.0,69,16.394365
34.0,34,16.707438
27.0,27,16.707438
13.0,13,16.707438
14.0,14,16.707438
19.0,19,16.707438
25.0,25,16.707438
18.0,18,16.707438
12.0,12,16.723058
12.0,12,16.723058
9.0,9,16.723058
12.0,12,16.723058
27.0,27,16.723058
20.0,20,16.723058
45.0,45,17.054654
19.0,19,17.070277
30.0,30,17.070277
18.0,18,17.070277
19.0,19,17.085904
20.0,20,17.085904
12.0,12,17.085904
33.0,33,17.101533
12.0,12,17.101533
23.0,23,17.11715
30.0,30,17.11715
18.0,18,17.11715
37.0,37,17.604416
25.0,25,17.604416
25.0,25,17.620039
23.0,23,17.620039
26.0,26,17.620039
38.0,38,17.620039
46.0,46,17.635662
22.0,22,17.635662
23.0,23,17.635662
84.0,84,17.965073
17.0,17,17.965073
17.0,17,17.965073
30.0,30,17.98097
19.0,19,17.98097
19.0,19,17.98097
15.0,15,17.98097
20.0,20,17.98097
38.0,38,17.98097
26.0,26,18.296143
27.0,27,18.296143
15.0,15,18.296143
15.0,15,18.296143
15.0,15,18.296143
9.0,9,18.296143
29.0,29,18.296143
16.0,16,18.296143
13.0,13,18.312116
21.0,21,18.312116
10.0,10,18.312116
27.0,27,18.312116
16.0,16,18.312116
13.0,13,18.312116
13.0,13,18.674711
23.0,23,18.690604
20.0,20,18.690604
20.0,20,18.690604
21.0,21,18.690604
25.0,25,18.690604
51.0,51,18.706441
16.0,16,18.706441
77.0,77,18.706441
14.0,14,19.020132
16.0,16,19.020132
50.0,50,19.020132
11.0,11,19.035989
21.0,21,19.035989
36.0,36,19.035989
19.0,19,19.035989
11.0,11,19.035989
29.0,29,19.035989
15.0,15,19.051842
102.0,102,19.412827
17.0,17,19.412827
19.0,19,19.412827
16.0,16,19.412827
18.0,18,19.412827
59.0,59,19.428464
24.0,24,19.428464
25.0,25,19.428464
18.0,18,19.758667
8.0,8,19.774633
14.0,14,19.774633
14.0,14,19.774633
36.0,36,19.774633
13.0,13,19.774633
23.0,23,19.774633
25.0,25,19.790252
13.0,13,19.790252
19.0,19,19.790252
48.0,48,19.790252
17.0,17,19.805876
10.0,10,19.805876
22.0,22,20.134321
14.0,14,20.134321
15.0,15,20.134321
16.0,16,20.134321
15.0,15,20.134321
27.0,27,20.149984
33.0,33,20.149984
12.0,12,20.149984
15.0,15,20.149984
15.0,15,20.149984
10.0,10,20.149984
34.0,34,20.165652
15.0,15,20.165652
14.0,14,20.165652
13.0,13,20.494955
18.0,18,20.494955
27.0,27,20.494955
56.0,56,20.510579
13.0,13,20.510579
15.0,15,20.510579
27.0,27,20.510579
21.0,21,20.510579
41.0,41,20.526202
20.0,20,20.526202
13.0,13,20.526202
12.0,12,20.839342
29.0,29,20.839342
24.0,24,20.839342
20.0,20,20.839342
17.0,17,20.839342
34.0,34,20.855266
44.0,44,20.855266
12.0,12,20.855266
19.0,19,20.855266
16.0,16,20.855266
16.0,16,20.855266
16.0,16,21.199941
21.0,21,21.199941
16.0,16,21.199941
11.0,11,21.199941
40.0,40,21.199941
49.0,49,21.215753
22.0,22,21.215753
14.0,14,21.215753
52.0,52,21.215753
23.0,23,21.231376
16.0,16,21.544401
42.0,42,21.544401
14.0,14,21.560215
10.0,10,21.560215
16.0,16,21.560215
18.0,18,21.560215
24.0,24,21.560215
14.0,14,21.560215
9.0,9,21.560215
48.0,48,21.560215
20.0,20,21.560215
19.0,19,21.576066
26.0,26,21.87291
20.0,20,21.87291
26.0,26,21.87291
22.0,22,21.888535
20.0,20,21.888535
36.0,36,21.888535
22.0,22,21.888535
10.0,10,21.888535
90.0,90,22.235611
13.0,13,22.235611
34.0,34,22.235611
37.0,37,22.251217
12.0,12,22.251217
13.0,13,22.251217
16.0,16,22.251217
19.0,19,22.251217
10.0,10,22.251217
15.0,15,22.251217
53.0,53,22.267077
14.0,14,22.267077
12.0,12,22.267077
10.0,10,22.629855
19.0,19,22.629855
13.0,13,22.629855
28.0,28,22.645477
17.0,17,22.645477
14.0,14,22.645477
52.0,52,22.645477
48.0,48,22.661435
28.0,28,22.661435
21.0,21,22.661435
21.0,21,22.990272
10.0,10,22.990272
14.0,14,22.990272
24.0,24,22.990272
13.0,13,22.990272
41.0,41,23.006356
21.0,21,23.006356
40.0,40,23.021989
32.0,32,23.021989
15.0,15,23.021989
31.0,31,23.021989
26.0,26,23.350408
12.0,12,23.350408
13.0,13,23.350408
71.0,71,23.366444
55.0,55,23.366444
18.0,18,23.366444
55.0,55,23.382452
19.0,19,23.680054
26.0,26,23.680054
35.0,35,23.695677
18.0,18,23.695677
26.0,26,23.695677
14.0,14,23.695677
18.0,18,23.695677
15.0,15,23.695677
10.0,10,23.711697
13.0,13,23.711697
33.0,33,23.711697
16.0,16,23.711697
16.0,16,23.711697
12.0,12,24.024441
18.0,18,24.024441
18.0,18,24.024441
12.0,12,24.040249
18.0,18,24.040249
35.0,35,24.040249
16.0,16,24.040249
84.0,84,24.055973
12.0,12,24.055973
29.0,29,24.055973
30.0,30,24.385334
11.0,11,24.385334
20.0,20,24.385334
24.0,24,24.385334
18.0,18,24.385334
12.0,12,24.400957
31.0,31,24.400957
17.0,17,24.400957
21.0,21,24.400957
31.0,31,24.400957
17.0,17,24.400957
14.0,14,24.416581
39.0,39,24.729423
9.0,9,24.729423
16.0,16,24.729423
10.0,10,24.729423
10.0,10,24.729423
25.0,25,24.729423
16.0,16,24.745045
21.0,21,24.745045
29.0,29,24.745045
14.0,14,24.745045
28.0,28,24.745045
9.0,9,24.745045
12.0,12,24.745045
11.0,11,24.760668
27.0,27,25.042796
10.0,10,25.042796
17.0,17,25.058417
12.0,12,25.058417
16.0,16,25.058417
28.0,28,25.058417
16.0,16,25.058417
16.0,16,25.058417
10.0,10,25.058417
17.0,17,25.058417
13.0,13,25.058417
23.0,23,25.074039
31.0,31,25.074039
17.0,17,25.074039
13.0,13,25.074039
37.0,37,25.403626
23.0,23,25.403626
31.0,31,25.403626
14.0,14,25.403626
12.0,12,25.419626
14.0,14,25.419626
12.0,12,25.419626
28.0,28,25.419626
20.0,20,25.419626
32.0,32,25.419626
41.0,41,25.419626
13.0,13,25.717324
14.0,14,25.717324
23.0,23,25.717324
24.0,24,25.733226
9.0,9,25.733226
18.0,18,25.733226
51.0,51,25.733226
22.0,22,25.733226
11.0,11,25.748853
48.0,48,25.748853
14.0,14,25.748853
32.0,32,26.092775
15.0,15,26.092775
28.0,28,26.092775
40.0,40,26.108398
16.0,16,26.108398
10.0,10,26.108398
12.0,12,26.108398
35.0,35,26.108398
27.0,27,26.108398
29.0,29,26.12402
13.0,13,26.12402
10.0,10,26.12402
16.0,16,26.453343
16.0,16,26.453343
19.0,19,26.453343
28.0,28,26.453343
12.0,12,26.453343
17.0,17,26.453343
25.0,25,26.468966
14.0,14,26.468966
115.0,115,26.78238
16.0,16,26.78238
32.0,32,26.798004
16.0,16,26.798004
17.0,17,26.798004
24.0,24,26.798004
14.0,14,26.798004
30.0,30,26.798004
24.0,24,26.813627
24.0,24,26.813627
11.0,11,26.813627
11.0,11,26.813627
10.0,10,26.813627
31.0,31,27.126094
35.0,35,27.126094
23.0,23,27.126094
13.0,13,27.141932
37.0,37,27.141932
13.0,13,27.141932
15.0,15,27.141932
10.0,10,27.141932
17.0,17,27.141932
22.0,22,27.157542
12.0,12,27.157542
19.0,19,27.157542
15.0,15,27.157542
27.0,27,27.4717
12.0,12,27.4717
22.0,22,27.487541
29.0,29,27.487541
18.0,18,27.487541
14.0,14,27.487541
18.0,18,27.487541
25.0,25,27.487541
17.0,17,27.487541
37.0,37,27.503471
28.0,28,27.503471
16.0,16,27.503471
29.0,29,27.817054
12.0,12,27.832678
14.0,14,27.832678
14.0,14,27.832678
27.0,27,27.832678
25.0,25,27.832678
15.0,15,27.832678
17.0,17,27.832678
14.0,14,27.84857
69.0,69,27.84857
20.0,20,27.84857
10.0,10,27.84857
52.0,52,28.17747
24.0,24,28.17747
13.0,13,28.17747
53.0,53,28.193473
11.0,11,28.193473
38.0,38,28.193473
18.0,18,28.193473
42.0,42,28.193473
24.0,24,28.569905
19.0,19,28.569905
19.0,19,28.569905
29.0,29,28.585526
61.0,61,28.585526
50.0,50,28.601149
17.0,17,28.601149
20.0,20,28.601149
20.0,20,28.601149
121.0,121,28.914371
25.0,25,28.914371
20.0,20,28.930126
27.0,27,28.930126
23.0,23,28.930126
18.0,18,28.930126
23.0,23,28.930126
28.0,28,29.29109
28.0,28,29.29109
32.0,32,29.29109
13.0,13,29.29109
43.0,43,29.306717
18.0,18,29.306717
32.0,32,29.306717
50.0,50,29.32234
19.0,19,29.623049
31.0,31,29.623049
10.0,10,29.623049
33.0,33,29.623049
15.0,15,29.623049
14.0,14,29.623049
51.0,51,29.638673
15.0,15,29.638673
25.0,25,29.654534
13.0,13,29.654534
28.0,28,29.654534
24.0,24,29.96727
38.0,38,29.96727
11.0,11,29.982893
15.0,15,29.982893
37.0,37,29.982893
44.0,44,29.998736
67.0,67,30.029971
17.0,17,30.029971
15.0,15,30.029971
23.0,23,30.423267
44.0,44,30.43889
55.0,55,30.43889
25.0,25,30.43889
15.0,15,30.43889
15.0,15,30.454514
36.0,36,30.454514
14.0,14,30.454514
22.0,22,30.454514
15.0,15,30.769665
15.0,15,30.769665
43.0,43,30.785278
14.0,14,30.785278
14.0,14,30.785278
11.0,11,30.785278
26.0,26,30.785278
9.0,9,30.785278
15.0,15,30.801185
10.0,10,30.801185
11.0,11,30.801185
21.0,21,30.801185
21.0,21,30.801185
39.0,39,30.817167
33.0,33,31.114972
12.0,12,31.114972
9.0,9,31.114972
17.0,17,31.130873
16.0,16,31.130873
32.0,32,31.130873
25.0,25,31.146799
36.0,36,31.146799
11.0,11,31.146799
15.0,15,31.146799
38.0,38,31.162412
12.0,12,31.162412
26.0,26,31.523935
15.0,15,31.523935
50.0,50,31.539854
15.0,15,31.539854
10.0,10,31.539854
11.0,11,31.555784
23.0,23,31.555784
15.0,15,31.555784
31.0,31,31.571738
24.0,24,31.587371
23.0,23,31.587371
13.0,13,31.587371
14.0,14,31.932858
26.0,26,31.932858
29.0,29,31.932858
27.0,27,31.932858
29.0,29,31.932858
34.0,34,31.948899
25.0,25,31.948899
17.0,17,31.948899
24.0,24,31.948899
33.0,33,31.964733
11.0,11,32.277633
17.0,17,32.277633
63.0,63,32.277633
25.0,25,32.277633
10.0,10,32.293257
46.0,46,32.293257
18.0,18,32.293257
22.0,22,32.293257
14.0,14,32.293257
37.0,37,32.685439
12.0,12,32.685439
26.0,26,32.701062
29.0,29,32.701062
24.0,24,32.701062
27.0,27,32.701062
21.0,21,32.701062
14.0,14,32.716686
25.0,25,32.716686
38.0,38,32.716686
24.0,24,32.716686
29.0,29,33.076601
15.0,15,33.076601
17.0,17,33.076601
14.0,14,33.076601
17.0,17,33.076601
30.0,30,33.076601
24.0,24,33.092417
53.0,53,33.092417
22.0,22,33.092417
37.0,37,33.108531
21.0,21,33.485153
12.0,12,33.485153
12.0,12,33.485153
13.0,13,33.485153
18.0,18,33.485153
13.0,13,33.485153
30.0,30,33.485153
52.0,52,33.501014
31.0,31,33.516639
9.0,9,33.516639
10.0,10,33.516639
23.0,23,33.516639
11.0,11,33.532512
14.0,14,33.924752
18.0,18,33.924752
14.0,14,33.924752
17.0,17,33.924752
16.0,16,33.940376
9.0,9,33.940376
84.0,84,33.940376
20.0,20,33.940376
42.0,42,33.955999
13.0,13,33.955999
21.0,21,34.269457
27.0,27,34.269457
12.0,12,34.269457
15.0,15,34.269457
39.0,39,34.269457
33.0,33,34.285321
15.0,15,34.285321
59.0,59,34.300944
62.0,62,34.678638
21.0,21,34.678638
21.0,21,34.694261
9.0,9,34.694261
79.0,79,34.694261
22.0,22,34.694261
11.0,11,34.694261
16.0,16,34.709882
10.0,10,34.709882
24.0,24,34.709882
24.0,24,34.709882
15.0,15,35.07172
27.0,27,35.07172
31.0,31,35.07172
15.0,15,35.07172
19.0,19,35.087799
16.0,16,35.087799
11.0,11,35.087799
33.0,33,35.087799
40.0,40,35.103798
19.0,19,35.103798
13.0,13,35.103798
11.0,11,35.103798
23.0,23,35.450858
42.0,42,35.450858
53.0,53,35.450858
66.0,66,35.466479
26.0,26,35.466479
62.0,62,35.4821
17.0,17,35.795363
13.0,13,35.795363
13.0,13,35.795363
58.0,58,35.795363
26.0,26,35.810986
11.0,11,35.810986
31.0,31,35.826611
24.0,24,35.826611
51.0,51,35.842235
51.0,51,36.186172
17.0,17,36.186172
15.0,15,36.186172
68.0,68,36.201795
15.0,15,36.201795
27.0,27,36.217418
43.0,43,36.217418
20.0,20,36.217418
49.0,49,36.577249
25.0,25,36.592871
46.0,46,36.592871
32.0,32,36.592871
29.0,29,36.592871
34.0,34,36.608932
13.0,13,36.608932
34.0,34,36.608932
17.0,17,36.922266
11.0,11,36.922266
21.0,21,36.922266
13.0,13,36.922266
24.0,24,36.922266
15.0,15,36.938204
22.0,22,36.938204
41.0,41,36.938204
42.0,42,36.938204
12.0,12,36.954192
29.0,29,36.954192
25.0,25,37.267985
13.0,13,37.283804
16.0,16,37.283804
27.0,27,37.283804
24.0,24,37.283804
22.0,22,37.283804
30.0,30,37.283804
13.0,13,37.299741
42.0,42,37.691849
21.0,21,37.691849
26.0,26,37.691849
21.0,21,38.005667
40.0,40,38.02129
18.0,18,38.02129
14.0,14,38.02129
20.0,20,38.02129
20.0,20,38.02129
17.0,17,38.02129
16.0,16,38.02129
15.0,15,38.037191
15.0,15,38.037191
25.0,25,38.037191
15.0,15,38.037191
11.0,11,38.037191
17.0,17,38.037191
30.0,30,38.38232
26.0,26,38.38232
18.0,18,38.38232
16.0,16,38.38232
16.0,16,38.397944
18.0,18,38.397944
14.0,14,38.397944
22.0,22,38.397944
16.0,16,38.397944
18.0,18,38.413568
34.0,34,38.413568
10.0,10,38.413568
22.0,22,38.413568
34.0,34,38.758386
17.0,17,38.774007
19.0,19,38.774007
16.0,16,38.774007
11.0,11,38.774007
18.0,18,38.774007
14.0,14,38.774007
56.0,56,38.789786
31.0,31,38.789786
37.0,37,38.789786
16.0,16,39.102882
21.0,21,39.118506
16.0,16,39.118506
14.0,14,39.118506
20.0,20,39.118506
35.0,35,39.118506
17.0,17,39.134315
14.0,14,39.134315
36.0,36,39.134315
19.0,19,39.134315
13.0,13,39.134315
14.0,14,39.134315
15.0,15,39.149986
16.0,16,39.447682
15.0,15,39.447682
18.0,18,39.46369
15.0,15,39.46369
21.0,21,39.46369
12.0,12,39.46369
14.0,14,39.46369
17.0,17,39.46369
25.0,25,39.46369
17.0,17,39.46369
39.0,39,39.479321
15.0,15,39.479321
29.0,29,39.479321
13.0,13,39.479321
37.0,37,39.808424
74.0,74,39.824048
14.0,14,39.824048
16.0,16,39.824048
17.0,17,39.824048
25.0,25,39.824048
13.0,13,39.824048
11.0,11,39.824048
17.0,17,39.83967
53.0,53,40.152366
10.0,10,40.152366
21.0,21,40.152366
17.0,17,40.152366
17.0,17,40.152366
20.0,20,40.168221
9.0,9,40.168221
37.0,37,40.168221
45.0,45,40.183848
16.0,16,40.183848
21.0,21,40.183848
13.0,13,40.183848
14.0,14,40.482153
29.0,29,40.482153
32.0,32,40.482153
134.0,134,40.513673
45.0,45,40.513673
27.0,27,40.875736
46.0,46,40.875736
37.0,37,40.891588
13.0,13,40.891588
24.0,24,40.891588
28.0,28,40.891588
22.0,22,40.90721
16.0,16,40.90721
44.0,44,40.90721
27.0,27,41.204298
33.0,33,41.219921
13.0,13,41.219921
14.0,14,41.219921
34.0,34,41.219921
15.0,15,41.219921
37.0,37,41.235544
49.0,49,41.235544
23.0,23,41.235544
37.0,37,41.565012
12.0,12,41.565012
14.0,14,41.565012
12.0,12,41.565012
14.0,14,41.565012
42.0,42,41.565012
24.0,24,41.581083
13.0,13,41.581083
15.0,15,41.581083
31.0,31,41.581083
26.0,26,41.581083
34.0,34,41.59671
45.0,45,41.911118
18.0,18,41.92674
28.0,28,41.92674
21.0,21,41.92674
22.0,22,41.92674
13.0,13,41.92674
46.0,46,41.942424
28.0,28,41.942424
48.0,48,42.366121
83.0,83,42.366121
13.0,13,42.381744
12.0,12,42.381744
19.0,19,42.381744
18.0,18,42.381744
53.0,53,42.381744
42.0,42,42.397513
19.0,19,42.728326
9.0,9,42.728326
16.0,16,42.728326
13.0,13,42.744211
13.0,13,42.744211
52.0,52,42.744211
27.0,27,42.744211
49.0,49,42.75983
20.0,20,42.75983
